Username,Repo Name,Stars
photonstorm,phaser-examples,1.7k
channingbreeze,games,1.4k
lean,phaser-es6-webpack,1.3k
photonstorm,phaser-ce,1.2k
oklemenz,PrinceJS,807
digitsensitive,phaser3-typescript,810
DragonBones,DragonBonesJS,672
laravel,laravel,69.9k
LeCoupa,awesome-cheatsheets,28.9k
laravel,framework,27.2k
symfony,symfony,27k
ziadoz,awesome-php,26.6k
composer,composer,26.6k
guzzle,guzzle,21.9k
DesignPatternsPHP,DesignPatternsPHP,20.6k
Seldaek,monolog,19.7k
nextcloud,server,19.4k
kitao,pyxel,10k
pico-8,awesome-PICO-8,2.1k
picolove,picolove,576
dansanderson,picotool,293
Liquidream,scumm-8,274
jtothebell,fake-08,253
torch2424,picoDeploy,189
Jakz,retro8,184
0xcafed00d,tac08,153
Neko250,pico8-api,132
aseprite,aseprite,17.7k
piskelapp,piskel,8.7k
gelstudios,gitfiti,7k
dicebear,dicebear,4.1k
jvalen,pixel-art-react,4k
Orama-Interactive,Pixelorama,3.2k
LibreSprite,LibreSprite,2.5k
javierbyte,img2css,2.4k
cloudhead,rx,2.3k
nosir,obelisk.js,2.2k
discourse,discourse,35.8k
supabase,supabase,34.4k
metabase,metabase,28.8k
typeorm,typeorm,28.5k
nocodb,nocodb,28.3k
dbeaver,dbeaver,26.9k
sequelize,sequelize,26.3k
prisma,prisma,23.5k
getredash,redash,21.2k
PostgREST,postgrest,18.8k
frappe,erpnext,11.3k
mattermost,focalboard,11.3k
kanboard,kanboard,6.6k
opf,openproject,5.8k
bbatsov,projectile,3.6k
taigaio,taiga-front,3.5k
JordanKnott,taskcafe,3.2k
boltpkg,bolt,2.2k
200ok-ch,organice,2k
kuaifan,dootask,2.2k
TryGhost,Ghost,40.4k
lerna,lerna,32.9k
jgm,pandoc,25.8k
nteract,papermill,4.7k
Triple-T,gradle-play-publisher,3.8k
austintoddj,canvas,3k
timlrx,tailwind-nextjs-starter-blog,2.8k
substance,substance,2.7k
writefreely,writefreely,2.7k
themsaid,wink,2.7k
angular,angular,82k
ionic-team,ionic-framework,47.4k
hoppscotch,hoppscotch,44.3k
freeCodeCamp,devdocs,28.9k
GoogleChrome,lighthouse,24.7k
quasarframework,quasar,21.4k
qier222,YesPlayMusic,17.7k
pubkey,rxdb,17.6k
saleor,saleor,16.3k
RobinLinus,snapdrop,12.5k
donnemartin,system-design-primer,184k
tensorflow,tensorflow,166k
CyC2018,CS-Notes,152k
TheAlgorithms,Python,138k
vinta,awesome-python,130k
justjavac,free-programming-books-zh_CN,93.3k
nvbn,thefuck,71.6k
practical-tutorials,project-based-learning,68.8k
huggingface,transformers,65.1k
django,django,64.6k
flameshot-org,flameshot,17.6k
Swordfish90,cool-retro-term,16.8k
matplotlib,matplotlib,15.6k
SFTtech,openage,11k
PySimpleGUI,PySimpleGUI,10.2k
therecipe,qt,9.3k
mapeditor,tiled,8.8k
jopohl,urh,8.3k
qutebrowser,qutebrowser,7.9k
nodegui,nodegui,7.7k
microsoft,ML-For-Beginners,38.4k
apache,spark,33.1k
oracle,graal,17.1k
plotly,dash,16.6k
facebook,prophet,14.6k
microsoft,LightGBM,13.9k
FavioVazquez,ds-cheatsheets,10.6k
kanaka,mal,8.7k
catboost,catboost,6.6k
wowchemy,wowchemy-hugo-themes,6.5k
rails,rails,50.9k
discourse,discourse,35.8k
gitlabhq,gitlabhq,22.9k
heartcombo,devise,22.5k
forem,forem,19.2k
diaspora,diaspora,13.1k
chatwoot,chatwoot,12.7k
spree,spree,11.9k
activeadmin,activeadmin,9.2k
kaminari,kaminari,8.2k
home-assistant,core,53.3k
pi-hole,pi-hole,36.5k
MichMich,MagicMirror,16.6k
jarun,nnn,14.3k
rwaldron,johnny-five,12.7k
s-matyukevich,raspberry-pi-os,11.5k
microsoft,IoT-For-Beginners,10.2k
thibmaek,awesome-raspberry-pi,9.9k
raysan5,raylib,9.8k
RetroPie,RetroPie-Setup,9.5k
twbs,ratchet,14.5k
ratchetphp,Ratchet,5.7k
interference-security,DVWS,292
amirsanni,Video-Call-App,192
kishor10d,CodeIgniter-Ratchet-Websocket,91
joni-jones,yii2-wschat,90
Koleok,jest-coverage-ratchet,39
takielias,codeigniter-websocket,33
amirsanni,conference-call-ratchet,34
iamvery,ratchet,26
freeCodeCamp,freeCodeCamp,347k
facebook,react,190k
facebook,create-react-app,95.5k
justjavac,free-programming-books-zh_CN,93.3k
vercel,next.js,88k
ant-design,ant-design,80.7k
mui,material-ui,79k
storybookjs,storybook,71.6k
gatsbyjs,gatsby,53.1k
leonardomso,33-js-concepts,49.4k
justjavac,free-programming-books-zh_CN,93.3k
storybookjs,storybook,71.6k
enaqx,awesome-react,48.7k
jondot,awesome-react-native,31.5k
NervJS,taro,31.1k
jaredpalmer,formik,30.6k
dkhamsing,open-source-ios-apps,30.4k
laurent22,joplin,30.1k
react-hook-form,react-hook-form,28.8k
typeorm,typeorm,28.5k
CodeHubApp,CodeHub,23.2k
reactiveui,ReactiveUI,7k
skatejs,skatejs,3.2k
chayxana,Restaurant-App,567
Wouterdek,NodeNetwork,496
wieslawsoltes,Dock,401
reactiveui,Camelotia,317
reactiveui,ReactiveUI.Samples,219
TheEightBot,Reactive-Examples,219
sstorie,experiments,140
reduxjs,redux,58.2k
react-boilerplate,react-boilerplate,28.5k
immerjs,immer,23k
redux-saga,redux-saga,22.2k
reduxjs,react-redux,22.2k
sudheerj,reactjs-interview-questions,21.6k
markerikson,react-redux-links,21.6k
paularmstrong,normalizr,20.9k
verekia,js-stack-from-scratch,19.2k
reduxjs,reselect,18.6k
hoppscotch,hoppscotch,44.3k
nocodb,nocodb,28.3k
hasura,graphql-engine,27.2k
swagger-api,swagger-ui,22.2k
httpie,httpie,22k
Kong,insomnia,21.2k
gofiber,fiber,20.5k
parse-community,parse-server,19.6k
microsoft,api-guidelines,19.4k
zeromicro,go-zero,18.4k
rails,rails,50.9k
DopplerHQ,awesome-interview-questions,47k
jekyll,jekyll,44.9k
discourse,discourse,35.8k
fastlane,fastlane,35.1k
Homebrew,brew,32.4k
serhii-londar,open-source-mac-os-apps,30.5k
hashicorp,vagrant,23.9k
SeleniumHQ,selenium,23.9k
gitlabhq,gitlabhq,22.9k
denoland,deno,82.9k
rust-lang,rust,67.6k
tauri-apps,tauri,42.4k
alacritty,alacritty,39.8k
sharkdp,bat,35.1k
meilisearch,meilisearch,27.4k
starship,starship,26.8k
rust-unofficial,awesome-rust,26.3k
rust-lang,rustlings,25.1k
sharkdp,fd,23.4k
twbs,bootstrap,158k
bailicangdu,vue2-elm,38.3k
IanLunn,Hover,26.1k
tabler,tabler,26k
akveo,ngx-admin,23.7k
palantir,blueprint,19k
chatwoot,chatwoot,12.7k
primer,css,11.1k
stylelint,stylelint,9.7k
thoughtbot,bourbon,9.1k
apache,spark,33.1k
apache,kafka,22.2k
apache,flink,19.1k
scala,scala,13.8k
apache,predictionio,12.5k
eclipse,deeplearning4j,12.5k
playframework,playframework,12.1k
heibaiying,BigData-Notes,11.9k
lichess-org,lila,11.6k
yahoo,CMAK,10.9k
microsoft,ML-For-Beginners,38.4k
Avik-Jain,100-Days-Of-ML-Code,37.6k
jakevdp,PythonDataScienceHandbook,34.9k
apachecn,ailearning,33.5k
ageron,handson-ml,24.5k
donnemartin,data-science-ipython-notebooks,23.2k
virgili0,Virgilio,13.3k
onnx,onnx,12.7k
rasbt,python-machine-learning-book,11.6k
ml-tooling,best-of-ml-python,10.8k
knowledgedefinednetworking,a-deep-rl-approach-for-sdn-routing-optimization,170
asavie,xdp,104
nayanseth,sdn-loadbalancing,83
seungsoo-lee,DELTA,70
GAR-Project,project,60
eniac,Flightplan,22
lopezalvar,awesome-sdn-security,21
eniac,FDP,6
AnotherKamila,sdn-loadbalancer,5
subject721,flow-orchestrator,4
trimstray,the-book-of-secret-knowledge,70k
Hack-with-Github,Awesome-Hacking,51.4k
caddyserver,caddy,41.1k
x64dbg,x64dbg,38.6k
swisskyrepo,PayloadsAllTheThings,38.2k
Developer-Y,cs-video-courses,37k
mitmproxy,mitmproxy,27.9k
trailofbits,algo,25.6k
StevenBlack,hosts,20.9k
OWASP,CheatSheetSeries,20.9k
gin-gonic,gin,60.2k
expressjs,express,57.3k
AppFlowy-IO,AppFlowy,22.3k
vapor,vapor,21.8k
PostgREST,postgrest,18.8k
valeriansaliou,sonic,13.2k
ory,hydra,12.7k
imthenachoman,How-To-Secure-A-Linux-Server,12.4k
withastro,astro,12.3k
http-party,http-server,11.8k
serverless,serverless,42.9k
anuraghazra,github-readme-stats,42.3k
Kong,kong,32.1k
pingcap,tidb,31.6k
appwrite,appwrite,22.7k
openfaas,faas,21.7k
kriasoft,react-starter-kit,21.2k
firecracker-microvm,firecracker,18.3k
dapr,dapr,18.2k
alibaba,ice,17.2k
ohmyzsh,ohmyzsh,146k
nvbn,thefuck,71.6k
nvm-sh,nvm,58.5k
git,git,42.4k
tldr-pages,tldr,39k
pi-hole,pi-hole,36.5k
ryanoasis,nerd-fonts,36.1k
GitSquared,edex-ui,35.5k
PowerShell,PowerShell,34k
google,zx,31.7k
airbnb,react-sketchapp,14.9k
gztchan,awesome-design,13.7k
casesandberg,react-color,10.7k
tldraw,tldraw,7.7k
themerdev,themer,4.7k
boringdesigners,boring-avatars,3.8k
sketchplugins,plugin-directory,3.4k
weui,weui-design,2.8k
weixin,Miaow,2.5k
mathieudutour,git-sketch-plugin,2.5k
SpaceVim,SpaceVim,18.3k
wsdjeg,vim-galore-zh_cn,9.1k
wsdjeg,.SpaceVim.d,1.4k
wsdjeg,vim-chat,501
Gabirel,Hack-SpaceVim,417
ctjhoa,spacevim,368
wsdjeg,FlyGrep.vim,294
wsdjeg,GitHub.vim,193
wsdjeg,JavaUnit.vim,107
wsdjeg,imenu.vim,99
spring-projects,spring-boot,61.7k
macrozheng,mall,59k
jeecgboot,jeecg-boot,29.7k
ityouknow,spring-boot-examples,27.6k
apolloconfig,apollo,26.9k
xkcoding,spring-boot-demo,25.9k
wuyouzhuguli,SpringAll,23.7k
jhipster,generator-jhipster,19.6k
elunez,eladmin,18.3k
linlinjava,litemall,17.2k
apache,spark,33.1k
pingcap,tidb,31.6k
dbeaver,dbeaver,26.9k
sequelize,sequelize,26.3k
bregman-arie,devops-exercises,25.5k
cockroachdb,cockroach,24.9k
ClickHouse,ClickHouse,24.1k
apache,flink,19.1k
osquery,osquery,19k
taosdata,TDengine,18.5k
storybookjs,storybook,71.6k
nrwl,nx,13k
diegohaz,arc,2.8k
vuesion,vuesion,2.6k
chromaui,learnstorybook.com,2.3k
React95,React95,1.9k
trungk18,jira-clone-angular,1.8k
AdaptiveConsulting,ReactiveTraderCloud,1.7k
oblador,loki,1.4k
danilowoz,react-atomic-design,1.4k
frappe,erpnext,11.3k
zammad,zammad,3k
helpyio,helpy,2.2k
freescout-helpdesk,freescout,1.5k
django-helpdesk,django-helpdesk,1.3k
mattmezza,vue-beautiful-chat,1.2k
BadChoice,handesk,1.2k
polonel,trudesk,809
bestpractical,rt,667
opensupports,opensupports,668
justjavac,free-programming-books-zh_CN,93.3k
Alamofire,Alamofire,37.7k
xitu,gold-miner,30.8k
serhii-londar,open-source-mac-os-apps,30.5k
dkhamsing,open-source-ios-apps,30.4k
shadowsocks,ShadowsocksX-NG,30.4k
iina,iina,30.3k
raywenderlich,swift-algorithm-club,26.5k
SDWebImage,SDWebImage,24.2k
appwrite,appwrite,22.7k
symfony,symfony,27k
getgrav,grav,13.3k
symfony,console,9.2k
symfony,http-foundation,8.2k
symfony,event-dispatcher,8.1k
symfony,finder,8k
symfony,http-kernel,7.7k
symfony,polyfill-mbstring,7.5k
api-platform,api-platform,7.5k
symfony,debug,7.3k
tqdm,tqdm,22.2k
DIYgod,RSSHub,20.1k
DrKLO,Telegram,20k
telegramdesktop,tdesktop,19k
python-telegram-bot,python-telegram-bot,18.8k
tinode,chat,8.9k
OpenIMSDK,Open-IM-Server,8.4k
zhukov,webogram,7.7k
LonamiWebs,Telethon,6.6k
ramboxapp,community-edition,6.3k
tensorflow,tensorflow,166k
huggingface,transformers,65.1k
keras-team,keras,55.4k
aymericdamien,TensorFlow-Examples,42k
CorentinJ,Real-Time-Voice-Cloning,35.2k
google-research,bert,31.4k
xitu,gold-miner,30.8k
ageron,handson-ml,24.5k
donnemartin,data-science-ipython-notebooks,23.2k
matterport,Mask_RCNN,21.8k
ohmyzsh,ohmyzsh,146k
microsoft,terminal,83.6k
alacritty,alacritty,39.8k
tldr-pages,tldr,39k
vercel,hyper,38.7k
Textualize,rich,38k
GitSquared,edex-ui,35.5k
sharkdp,bat,35.1k
Eugeny,tabby,33.5k
chubin,cheat.sh,29.4k
hashicorp,terraform,33k
bregman-arie,devops-exercises,25.5k
MichaelCade,90DaysOfDevOps,13.6k
GoogleCloudPlatform,terraformer,7.7k
hashicorp,terraform-provider-aws,7.4k
infracost,infracost,6.8k
gruntwork-io,terratest,6.1k
gruntwork-io,terragrunt,5.9k
khuedoan,homelab,5.8k
hobby-kube,guide,5.2k
puppeteer,puppeteer,78.5k
goldbergyoni,nodebestpractices,78.4k
storybookjs,storybook,71.6k
hoppscotch,hoppscotch,44.3k
localstack,localstack,41.5k
facebook,jest,39.3k
microsoft,playwright,39.1k
cypress-io,cypress,38.9k
mochajs,mocha,21.4k
enzymejs,enzyme,19.9k
huginn,huginn,35.8k
DIYgod,RSSHub,20.1k
GorvGoyl,Clone-Wars,19.9k
twintproject,twint,13.3k
tweepy,tweepy,8.9k
KurtBestor,Hitomi-Downloader,8.5k
aritraroy,UltimateAndroidReference,7.5k
maxbbraun,trump2cash,6.1k
zedeus,nitter,4.9k
abraham,twitteroauth,4.2k
microsoft,vscode,133k
denoland,deno,82.9k
angular,angular,82k
microsoft,TypeScript,81.4k
ant-design,ant-design,80.7k
mui,material-ui,79k
storybookjs,storybook,71.6k
nestjs,nest,47.6k
ionic-team,ionic-framework,47.4k
prettier,prettier,42.8k
Nyr,openvpn-install,15.2k
angristan,openvpn-install,8.2k
dnschneid,crouton,8.1k
judasn,Linux-Tutorial,7.9k
oguzhaninan,Stacer,7.8k
wszqkzqk,deepin-wine-ubuntu,5.9k
adi1090x,polybar-themes,4.2k
GetPublii,Publii,3.9k
chef,bento,3.9k
boltgolt,howdy,3.9k
icsharpcode,ILSpy,15.2k
lettier,3d-game-shaders-for-beginners,13.1k
Unity-Technologies,ml-agents,13k
Perfare,AssetStudio,8.4k
Tencent,xLua,7.7k
rocksdanister,lively,7.4k
egametang,ET,5.8k
neuecc,UniRx,5.8k
sschmid,Entitas-CSharp,5.6k
microsoft,MixedRealityToolkit-Unity,5.1k
microsoft,AirSim,13.2k
heroiclabs,nakama,6k
ThusWroteNomad,GameNetworkingResources,4.7k
Allar,ue5-style-guide,3.1k
nxrighthere,UnrealCLR,2.1k
lgsvl,simulator,1.8k
tomlooman,ActionRoguelike,1.8k
gildor2,UEViewer,1.6k
Tencent,sluaunreal,1.4k
Gforcex,OpenGraphic,1.2k
hashicorp,vagrant,23.9k
geerlingguy,ansible-for-devops,5.9k
Varying-Vagrant-Vagrants,VVV,4.6k
chef,bento,3.9k
clong,DetectionLab,3.7k
ServiceStack,redis-windows,2.6k
roots,trellis,2.3k
ianmiell,shutit,2.1k
vagrant-libvirt,vagrant-libvirt,2k
leucos,ansible-tuto,2k
neovim,neovim,54.4k
junegunn,fzf,45k
LeCoupa,awesome-cheatsheets,28.9k
junegunn,vim-plug,27.9k
vim,vim,27.3k
ycm-core,YouCompleteMe,24k
syl20bnr,spacemacs,22.3k
neoclide,coc.nvim,20.1k
SpaceVim,SpaceVim,18.3k
preservim,nerdtree,17.2k
mrdoob,three.js,82.7k
aframevr,aframe,14.3k
bulletphysics,bullet3,9.4k
playcanvas,engine,7.4k
relativty,Relativty,5.7k
ExtendRealityLtd,VRTK,3.5k
immersive-web,webxr,2.5k
viromedia,viro,1.9k
widgetti,ipyvolume,1.8k
bjornbytes,lovr,1.4k
vuejs,vue,197k
justjavac,free-programming-books-zh_CN,93.3k
PanJiaChen,vue-element-admin,76.6k
storybookjs,storybook,71.6k
ElemeFE,element,52.2k
ionic-team,ionic-framework,47.4k
hoppscotch,hoppscotch,44.3k
prettier,prettier,42.8k
nuxt,nuxt.js,40.7k
bailicangdu,vue2-elm,38.3k
wagtail,wagtail,12.2k
springload,awesome-wagtail,1.6k
wagtail,bakerydemo,579
springload,draftail,562
coderedcorp,coderedcms,510
APSL,puput,508
JamesRamm,longclaw,337
AccordBox,wagtail-bootstrap-blog,315
jazzband,wagtailmenus,310
wagtail-deprecated,wagtaildemo,285
storybookjs,storybook,71.6k
Polymer,polymer,21.8k
Tencent,omi,12.3k
rough-stuff,wired-elements,9k
microsoft,fast,7.3k
vmware,clarity,6.5k
andreasbm,web-skills,5.9k
skatejs,skatejs,3.2k
yued-fe,lulu,2.5k
github,time-elements,2.4k
gatsbyjs,gatsby,53.1k
nuxt,nuxt.js,40.7k
airyland,vux,17.6k
plotly,dash,16.6k
google,WebFundamentals,13.2k
1j01,jspaint,6.3k
phpmyadmin,phpmyadmin,6k
pi-hole,docker-pi-hole,5.1k
rstudio,shiny,4.7k
bigskysoftware,intercooler-js,4.7k
PanJiaChen,vue-element-admin,76.6k
storybookjs,storybook,71.6k
webpack,webpack,61.2k
bailicangdu,vue2-elm,38.3k
akveo,ngx-admin,23.7k
markerikson,react-redux-links,21.6k
kriasoft,react-starter-kit,21.2k
electron-react-boilerplate,electron-react-boilerplate,19.7k
jhipster,generator-jhipster,19.6k
verekia,js-stack-from-scratch,19.2k
flutter,flutter,142k
jlevy,the-art-of-command-line,107k
nodejs,node,88.2k
microsoft,PowerToys,74.1k
atom,atom,58.1k
alacritty,alacritty,39.8k
x64dbg,x64dbg,38.6k
FiloSottile,mkcert,35.5k
GitSquared,edex-ui,35.5k
ventoy,Ventoy,35.5k
wordplate,wordplate,1.7k
wordplate,extended-acf,311
wordplate,plate,76
wordplate,framework,41
fiskhandlarn,blade,25
wordplate,mail,25
Levdbas,BasePlate,20
wordplate,wordplate.github.io,18
hoymultimedia,polylang,6
neone35,plumber123,5
digitalocean,nginxconfig.io,20.9k
benweet,stackedit,19.3k
Automattic,wp-calypso,12.1k
roots,sage,11.8k
WordPress,gutenberg,7.9k
woocommerce,woocommerce,7.9k
wpscanteam,wpscan,6.7k
roots,bedrock,5.6k
timber,timber,5.1k
Varying-Vagrant-Vagrants,VVV,4.6k
dotnet-architecture,eShopOnContainers,20.8k
mono,mono,9.9k
reactiveui,ReactiveUI,7k
unoplatform,uno,6.6k
reactiveui,refit,6k
xamarin,Xamarin.Forms,5.6k
NLog,NLog,5.5k
xamarin,xamarin-forms-samples,4.2k
neuecc,MessagePack-CSharp,3.9k
MvvmCross,MvvmCross,3.7k
SheetJS,sheetjs,30.4k
xbmc,xbmc,13.9k
jhy,jsoup,9.5k
dbohdan,structured-text-tools,6.3k
pocoproject,poco,6.1k
reactiveui,refit,6k
rest-assured,rest-assured,5.9k
sparklemotion,nokogiri,5.9k
mikefarah,yq,5.8k
mledoze,countries,5.5k
